,Nation oder Organisation,Name der Sonde,Typ,Missonsname/ Programmname,Dauer,Dauer,Status,Untersuchungsobjekt(e) und Missionsziele,"Position der Sonde, falls abweichend vom Untersuchungsobjekt"
,Nation oder Organisation,Name der Sonde,Typ,Missonsname/ Programmname,von,bis,Status,Untersuchungsobjekt(e) und Missionsziele,"Position der Sonde, falls abweichend vom Untersuchungsobjekt"
43,Sowjetunion,Luna 1969A,"Orbiter, Rover",Luna,1969,1969,Erd(-orbit) nie verlassen,Erdmond,
44,Sowjetunion,Luna 1969B,"Orbiter, Lander, Rückkehrsonde",Luna,1969,1969,Erd(-orbit) nie verlassen,Erdmond,
45,Sowjetunion,Luna 15,"Orbiter, Lander, Rückkehrsonde",Luna,1969,1969,Beendet,Erdmond,
46,Sowjetunion,"Kosmos 300, Kosmos 305, Luna 1970A","Orbiter, Lander, Rückkehrsonde",Luna,1969,1970,Erd(-orbit) nie verlassen,Erdmond,
47,Sowjetunion,Luna 16,"Orbiter, Lander, Rückkehrsonde",Luna,1970,1970,Beendet,Erdmond,
48,Sowjetunion,Luna 17,"Orbiter, Rover",Luna,1970,1971,Beendet,Erdmond,
49,Sowjetunion,Luna 18,"Orbiter, Lander, Rückkehrsonde",Luna,1971,1971,Beendet,Erdmond,
50,Sowjetunion,Luna 20,"Orbiter, Lander, Rückkehrsonde",Luna,1972,1972,Beendet,Erdmond,
51,Sowjetunion,Luna 21,"Orbiter, Rover",Luna,1973,1973,Beendet,Erdmond,
52,Sowjetunion,Luna 23,"Orbiter, Lander, Rückkehrsonde",Luna,1974,1974,Beendet,Erdmond,
53,Sowjetunion,Luna 1975A,"Orbiter, Lander, Rückkehrsonde",Luna,1975,1975,Erd(-orbit) nie verlassen,Erdmond,
54,Sowjetunion,Luna 24,"Orbiter, Lander, Rückkehrsonde",Luna,1976,1976,Beendet,Erdmond,
55,Russland,Luna 25,Lander,Luna,2023,2023,Beendet,Erdmond,
56,Russland,Luna 26,Orbiter,Luna,2024,–,Geplant,Erdmond,
57,Russland ESA,Luna 27,Lander,Luna,2025,–,Geplant,Erdmond,
58,Russland,Luna 28,"Lander(?), Rückkehrsonde",Luna,2026,–,Geplant,Erdmond,
59,Russland,Luna 29,Rover,Luna,2027,–,Geplant,Erdmond,
60,Sowjetunion,Kosmos 21,"Orbiter, Rückkehrsonde",Zond,1963,1963,Erd(-orbit) nie verlassen,"Sonnenorbit, Technologietest",
61,Sowjetunion,Kosmos 27,"Flyby-Sonde, Lander",Zond,1964,1964,Erd(-orbit) nie verlassen,Venus,
62,Sowjetunion,Zond 1,"Flyby-Sonde, Lander",Zond,1964,1964,Beendet,Venus,
63,Sowjetunion,Zond 2,Flyby-Sonde,Zond,1964,1965,Beendet,Mars,
64,Sowjetunion,Zond 3,Flyby-Sonde,Zond,1965,???,Beendet,Erdmond,
65,Sowjetunion,Kosmos 146,"Flyby-Sonde, Rückkehrsonde",Zond,1967,1967,Erd(-orbit) nie verlassen,Erdmond,
66,Sowjetunion,"Zond 4, Zond 5, Zond 6","Flyby-Sonde, Rückkehrsonde",Zond,1968,1968,Beendet,Erdmond,
67,Sowjetunion,??? (Zond Seriennummer 8L),"Flyby-Sonde, Rückkehrsonde",Zond,1968,1968,Erd(-orbit) nie verlassen,Erdmond,
68,Sowjetunion,Zond 7,"Flyby-Sonde, Rückkehrsonde",Zond,1969,1969,Beendet,Erdmond,
69,Sowjetunion,Zond 8,"Flyby-Sonde, Rückkehrsonde",Zond,1970,1970,Beendet,Erdmond,
70,Sowjetunion,Vega 1,"Orbiter, Lander, Atmosphärische Flugsonde",Vega,1984,1986,Beendet,Venus und Halley,
71,Sowjetunion,Vega 2,"Orbiter, Lander, Atmosphärische Flugsonde",Vega,1985,1986,Beendet,Venus und Halley,
72,Sowjetunion,Phobos 1,Orbiter,Phobos,1988,1988,Beendet,Marsmond Phobos,
73,Sowjetunion,Phobos 2,Orbiter,Phobos,1988,1989,Beendet,Marsmond Phobos,
74,Russland,Mars 96,"Orbiter, Penetrator",–,1996,1996,Erd(-orbit) nie verlassen,Mars,
75,Russland,Phobos-Grunt,"Orbiter, Lander, Rückkehrsonde",–,2011,2012,Erd(-orbit) nie verlassen,Marsmond Phobos,
76,Russland  ESA,ExoMars Trace Gas Orbiter,Orbiter,TGO-Schiaparelli / ExoMars,2016,–,Aktiv,Mars und Marsatmosphäre,
77,Russland  ESA,Schiaparelli,Lander,TGO-Schiaparelli / ExoMars,2016,2016,Beendet,Mars und Marsatmosphäre,
78,Russland,Kazachok,Lander,-,?,–,Geplant,Mars,
79,Vereinigte Staaten,"Pioneer 0, Pioneer 1, Pioneer 2, Pioneer 3",Flyby-Sonde,Pioneer,1958,1958,Erd(-orbit) nie verlassen,Erdmond,
80,Vereinigte Staaten,Pioneer 4,Flyby-Sonde,Pioneer,1959,1959,Beendet,Erdmond,
81,Vereinigte Staaten,"Pioneer P-1, Pioneer P-3, (auch: Pioneer X)",Orbiter,Pioneer,1959,1959,Erd(-orbit) nie verlassen,Erdmond,
82,Vereinigte Staaten,Pioneer 5 (auch: Pioneer P-2),Orbiter,Pioneer,1960,1960,Beendet,Venus,
83,Vereinigte Staaten,"Pioneer P-30 (auch: Pioneer Y), Pioneer P-31 (auch: Pioneer Z)",Orbiter,Pioneer,1960,1960,Erd(-orbit) nie verlassen,Erdmond,
84,Vereinigte Staaten,Pioneer 6 (auch: Pioneer A),Orbiter,Pioneer,1965,2000,Beendet,Sonne,
85,Vereinigte Staaten,Pioneer 7 (auch: Pioneer B),Orbiter,Pioneer,1966,1995,Beendet,Sonne,
86,Vereinigte Staaten,Pioneer 8 (auch: Pioneer C),Orbiter,Pioneer,1967,1996,Beendet,Sonne,
87,Vereinigte Staaten,Pioneer 9 (auch: Pioneer D),Orbiter,Pioneer,1968,1983,Beendet,Sonne,
88,Vereinigte Staaten,Pioneer E (auch: Pioneer 10),Orbiter,Pioneer,1969,1969,Erd(-orbit) nie verlassen,Sonne,
89,Vereinigte Staaten,Pioneer 10 (auch: Pioneer F),Flyby-Sonde,Pioneer,1972,2003,Beendet,Jupiter,
90,Vereinigte Staaten,Pioneer 11 (auch: Pioneer G),Flyby-Sonde,Pioneer,1973,1995,Beendet,Jupiter und Saturn,
91,Vereinigte Staaten,Pioneer-Venus 1,Orbiter,"Pioneer, Pioneer-Venus",1978,1992,Beendet,Venus,
92,Vereinigte Staaten,Pioneer-Venus 2,"Orbiter, Lander, Impaktor","Pioneer, Pioneer-Venus",1978,1978,Beendet,Venus,
93,Vereinigte Staaten,"Ranger 1, Ranger 2",Impaktor,Ranger,1961,1961,Erd(-orbit) nie verlassen,Erdmond,
94,Vereinigte Staaten,"Ranger 3, Ranger 4, Ranger 5",Impaktor,Ranger,1962,1962,Beendet,Erdmond,
95,Vereinigte Staaten,"Ranger 6, Ranger 7",Impaktor,Ranger,1964,1964,Beendet,Erdmond,
96,Vereinigte Staaten,"Ranger 8, Ranger 9",Impaktor,Ranger,1965,1965,Beendet,Erdmond,
97,Vereinigte Staaten,Mariner 1,Flyby-Sonde,Mariner,1962,1962,Erd(-orbit) nie verlassen,"Venus, Sonne",
98,Vereinigte Staaten,Mariner 2,Flyby-Sonde,Mariner,1962,1963,Beendet,"Venus, Sonne",
99,Vereinigte Staaten,Mariner 3,Flyby-Sonde,Mariner,1964,1964,Erd(-orbit) nie verlassen,Mars,
100,Vereinigte Staaten,Mariner 4,Flyby-Sonde,Mariner,1964,1967,Beendet,Mars,
101,Vereinigte Staaten,Mariner 5,Flyby-Sonde,Mariner,1967,???,Beendet,Venus,
102,Vereinigte Staaten,Mariner 6,Flyby-Sonde,Mariner,1969,???,Beendet,Mars,
103,Vereinigte Staaten,Mariner 7,Flyby-Sonde,Mariner,1969,???,Beendet,"Mars, Marsmond Phobos",
104,Vereinigte Staaten,Mariner 8,Orbiter,Mariner,1971,1971,Erd(-orbit) nie verlassen,Mars,
105,Vereinigte Staaten,Mariner 9,Orbiter,Mariner,1971,1972,Beendet,Mars,
106,Vereinigte Staaten,Mariner 10,Flyby-Sonde,Mariner,1973,1975,Beendet,"Venus, Merkur",
107,Vereinigte Staaten,"Surveyor 1, Surveyor 2",Lander,Surveyor,1966,1966,Beendet,Erdmond,
108,Vereinigte Staaten,"Surveyor 3, Surveyor 4, Surveyor 5, Surveyor 6",Lander,Surveyor,1967,1967,Beendet,Erdmond,
109,Vereinigte Staaten,Surveyor 7,Lander,Surveyor,1968,1968,Beendet,Erdmond,
110,Vereinigte Staaten,Lunar Orbiter 1,Orbiter,Lunar Orbiter,1966,1966,Beendet,Erdmond,
